Item,Intentional name,is_insect,modal name,H ,percent_agreement,Familiarity,Complexity
3,alligator,0,,1.39,60,1.8,4.13
21,bear,0,,0.59,80,2.5,3.93
28,bird,0,,0.63,90,3.07,4.07
43,camel,0,,0,90,2.17,3.9
49,cat,0,,0,100,3,3.8
55,chicken,0,,1.89,50,1.97,4.1
68,cow,0,,0.23,87,2.7,3.89
71,deer,0,,0.51,70,2.77,3.92
73,dog,0,,0,100,3.47,3.8
75,donkey,0,,1.18,70,2.6,3.6
81,duck,0,,0.42,93,2.67,3.6
82,eagle,0,bird,1.75,30,2.77,4.31
84,elephant,0,,0,100,2.93,4
89,fish,0,,0,100,2.93,3.13
98,fox,0,,0.75,73,2.21,3.79
103,giraffe,0,,0.59,83,2.79,4.14
107,goat,0,,1.66,60,2.07,4
108,gorilla,0,,1.18,70,2.47,4.13
121,horse,0,,0.21,97,3.53,3.53
126,kangaroo,0,,0.22,90,2.93,3.9
136,leopard,0,tiger,2.19,30,2.15,3.77
140,lion,0,,0.47,90,2,3.93
142,lobster,0,,1.12,53,2.08,4.62
145,monkey,0,,0.21,97,3.2,3.6
149,mouse,0,,0.87,77,2.52,3.34
159,ostrich,0,,2.03,37,2.09,4
160,owl,0,,0.22,93,1.83,4.03
164,peacock,0,,1.61,40,2.04,4.44
169,penguin,0,,0,93,2.86,3.71
172,pig,0,,0,100,1.81,3.67
182,rabbit,0,,1.16,70,3.4,3.93
183,raccoon,0,,1.24,47,2.04,4.13
186,rhinoceros,0,,1.97,43,1.85,3.77
191,rooster,0,,1.67,40,2.59,3.97
200,seahorse,0,,1.73,50,2.7,4.04
201,seal,0,,0.61,80,2.59,3.83
202,sheep,0,,1.79,40,2.44,4.04
206,skunk,0,,0.82,73,2.64,4
209,snake,0,,0.21,97,2.33,2.53
216,squirrel,0,,0.58,83,3.07,3.97
223,swan,0,,1.31,57,2.93,3.29
233,tiger,0,,0.81,77,2.21,4.57
260,zebra,0,,0,97,2.38,4.17
212,spider,1,,,,,
5,ant,1,,,,,
23,bee,1,,,,,
40,butterfly,1,,,,,
50,caterpillar,1,,,,,
93,fly,1,,,,,
110,grasshopper,1,,,,,
208,snail,1,,,,,
