ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection,
0,223339,0,"Fish",0,23836,0,"Hit the apple","apple","",
1,264790,0,"Right here?",1,26461,0,"","","selects",
2,275140,0,"Www right here",2,30370,0,"Hit the artichoke","artichoke","",
,,,,3,31703,0,"","","selects",
,,,,4,33994,0,"Apple","apple","",
,,,,5,35224,0,"","","selects",
,,,,6,38797,0,"Artichoke","artichoke","",
,,,,7,41524,0,"","","selects",
,,,,8,46172,0,"Hold on a second","n/a","",
,,,,9,52367,0,"Wait wait","","",
,,,,10,55868,0,"Pick the elephant","elephant","",
,,,,11,57232,0,"","","selects",
,,,,12,59215,0,"That's a fish","n/a","",
,,,,13,60703,0,"Pick the rhinoceros","rhinoceros","",
,,,,14,62561,0,"","","selects",
,,,,15,66103,0,"Pick the bird. Yellow","bird","",
,,,,16,67472,0,"","","selects",
,,,,17,71348,0,"Pick the red lobster. Red lobster.","lobster","",
,,,,18,74477,0,"","","selects",
,,,,19,79000,0,"Pick the fish","fish","",
,,,,20,80704,0,"","","selects",
,,,,21,82098,0,"Good job","n/a","",
,,,,22,84517,0,"Pick the chicken. Rooster","rooster","",
,,,,23,86627,0,"","","selects",
,,,,24,90447,0,"Pick - pick midnight. xxx","unknown","",
,,,,25,92983,0,"","","selects",
,,,,26,97138,0,"Pick the donkey. Pick the donkey","donkey","",
,,,,27,100915,0,"","","selects",
,,,,28,105077,0,"Pick xxx. Midnight.","unknown","",
,,,,29,107188,0,"","","selects",
,,,,30,110854,0,"Pick the donkey","donkey","",
,,,,31,111876,0,"","","selects",
,,,,32,116800,0,"Pick Chips. Where's Chips? You see Chips? Where the dog at? The dog. Right there. Pick it.","dog","",
,,,,33,124884,0,"","","selects",
,,,,34,128912,0,"Pick the... Pick the raccoon. You know what the raccoon is? Pick the raccoon.","raccoon","",
,,,,35,136656,0,"","","selects",
,,,,36,137243,0,"Good job","n/a","",
,,,,37,139753,0,"Alright. Pick Chips. Chips","dog","",
,,,,38,142203,0,"","","selects",
,,,,39,143827,0,"That's not Chips.","n/a","",
,,,,40,146088,0,"Pick the chicken","rooster","",
,,,,41,146645,0,"","","selects",
,,,,42,150767,0,"Pick the pig","pig","",
,,,,43,152254,0,"","","selects",
,,,,44,152873,0,"Good job","n/a","",
,,,,45,155044,0,"Put your hands back","n/a","",
,,,,46,156400,0,"Pick the leopard. The leopard cat.","leopard","",
,,,,47,158883,0,"","","selects",
,,,,48,163497,0,"Pick the duck","duck","",
,,,,49,165849,0,"","","selects",
,,,,50,169568,0,"Um... Pick the raccoon","raccoon","",
,,,,51,171928,0,"","","selects",
,,,,52,172078,0,"OK","n/a","",
,,,,53,175792,0,"Pick the cow","cow","",
,,,,54,177903,0,"","","selects",
,,,,55,179482,0,"That's the pig","n/a","",
,,,,56,182151,0,"Pick the peacock","","",
,,,,57,182739,0,"","","selects",
,,,,58,184196,0,"OK good","n/a","",
,,,,59,186643,0,"Pick the horse","horse","",
,,,,60,188107,0,"","","selects",
,,,,61,189315,0,"That's a pig","n/a","",
,,,,62,192667,0,"The red lobster","lobster","",
,,,,63,193439,0,"","","selects",
,,,,64,197715,0,"Pick the cow","cow","",
,,,,65,199823,0,"","","selects",
,,,,66,202613,0,"That's a pig","n/a","",
,,,,67,203436,0,"Pick the leopard cat","leopard","",
,,,,68,204401,0,"","","selects",
,,,,69,206290,0,"OK good","n/a","",
,,,,70,208433,0,"Pick the pig. The pig","pig","",
,,,,71,211939,0,"","","selects",
,,,,72,212992,0,"OK good","n/a","",
,,,,73,215940,0,"The peacock. The bird","peacock","",
,,,,74,217211,0,"","","selects",
,,,,75,221873,0,"Pick... Where the fish at?","fish","",
,,,,76,223618,0,"Yeah, the fish","fish","",
,,,,77,224121,0,"","","selects",
,,,,78,225876,0,"Give me your hand","n/a","",
,,,,79,227796,0,"Pick the swan duck","swan","",
,,,,80,231326,0,"","","selects",
,,,,81,232309,0,"That's the cat","n/a","",
,,,,82,235130,0,"Where's the horse?","horse","",
,,,,83,236646,0,"","","selects",
,,,,84,237950,0,"Good job","n/a","",
,,,,85,240794,0,"Squirrel. Xxx","squirrel","",
,,,,86,242628,0,"","","selects",
,,,,87,246411,0,"Elephant","elephant","",
,,,,88,248208,0,"","","selects",
,,,,89,248731,0,"Yeah","","",
,,,,90,251801,0,"Swan duck","swan","",
,,,,91,253257,0,"","","selects",
,,,,92,254835,0,"That's the chicken","n/a","",
,,,,93,257467,0,"Duck","duck","",
,,,,94,257779,0,"","","selects",
,,,,95,261680,0,"Squirrel. Where's the squirrel?","squirrel","",
,,,,96,266025,0,"OK, touch it","squirrel","",
,,,,97,266276,0,"","","selects",
,,,,98,266678,0,"OK. Gimme your hand","n/a","",
,,,,99,270116,0,"Where's the yellow bird?","bird","",
,,,,100,272807,0,"Where's the yellow bird at?","bird","",
,,,,101,276622,0,"Yeah, pick it","bird","",
,,,,102,277024,0,"","","selects",
